Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.39     0.00   344345     0.00     0.00  Operation* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<Operation const*, Operation*>(Operation const*, Operation const*, Operation*)
  0.00      4.39     0.00   344345     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > > >(__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >, __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >)
  0.00      4.39     0.00   344345     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::operator=(std::vector<Operation, std::allocator<Operation> > const&)
  0.00      4.39     0.00   344345     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > > >(__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >)
  0.00      4.39     0.00   344345     0.00     0.00  Operation* std::__copy_move_a<false, Operation const*, Operation*>(Operation const*, Operation const*, Operation*)
  0.00      4.39     0.00   344345     0.00     0.00  __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > > std::copy<__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >, __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > > >(__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >, __gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >, __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >)
  0.00      4.39     0.00   344345     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > > >(__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >, __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >)
  0.00      4.39     0.00   344345     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >, Operation>(__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >, __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >, std::allocator<Operation>&)
  0.00      4.39     0.00   339970     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Operation*> >::max_size(std::allocator<Operation*> const&)
  0.00      4.39     0.00   339970     0.00     0.00  __gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > >::__normal_iterator(Operation** const&)
  0.00      4.39     0.00   339970     0.00     0.00  std::_Vector_base<Operation*, std::allocator<Operation*> >::_M_get_Tp_allocator() const
  0.00      4.39     0.00   339970     0.00     0.00  std::vector<Operation*, std::allocator<Operation*> >::max_size() const
  0.00      4.39     0.00   339970     0.00     0.00  Operation** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Operation*>(Operation* const*, Operation* const*, Operation**)
  0.00      4.39     0.00   339970     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Operation**>(Operation**, Operation**)
  0.00      4.39     0.00   339970     0.00     0.00  std::_Vector_base<Operation*, std::allocator<Operation*> >::_M_deallocate(Operation**, unsigned int)
  0.00      4.39     0.00   339970     0.00     0.00  Operation** std::__uninitialized_copy<true>::__uninit_copy<Operation**, Operation**>(Operation**, Operation**, Operation**)
  0.00      4.39     0.00   339970     0.00     0.00  Operation** std::__copy_move_a<false, Operation**, Operation**>(Operation**, Operation**, Operation**)
